"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Glenwood Hydro","Erie Boulevard Hydropower LP","Medina","New York","hydroelectric",1.5,-78.3906,43.2358
"Granby","Erie Boulevard Hydropower LP","Fulton","New York","hydroelectric",10.2,-76.420841,43.323441
"Hannawa","Erie Boulevard Hydropower LP","Pierrepont","New York","hydroelectric",7.2,-74.9733,44.6192
"Herrings","Erie Boulevard Hydropower LP","Carthage","New York","hydroelectric",4.5,-75.6511,44.0217
"Heuvelton","Erie Boulevard Hydropower LP","Village of Heuvelton","New York","hydroelectric",0.8,-75.4042,44.6172
"High Dam","Oswego City of","Oswego","New York","hydroelectric",8.8,-76.4961,43.4436
"High Falls - Croghan NY","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",5.4,-75.3731,43.9247
"Higley","Erie Boulevard Hydropower LP","Colton","New York","hydroelectric",6.3,-74.9331,44.5306
"Hydraulic Race","Erie Boulevard Hydropower LP","Lockport","New York","hydroelectric",2.8,-78.691551,43.170948
"Inghams","Erie Boulevard Hydropower LP","Little Falls","New York","hydroelectric",6.2,-74.764347,43.061017
"Johnsonville Dam","Erie Boulevard Hydropower LP","Johnsonville","New York","hydroelectric",2.5,-73.508886,42.920374
"Kamargo","Erie Boulevard Hydropower LP","Black River","New York","hydroelectric",3.9,-75.7967,44.0117
"Lighthouse Hill","Erie Boulevard Hydropower LP","Altmar","New York","hydroelectric",7.6,-75.970318,43.524103
"Macomb","Erie Boulevard Hydropower LP","Malone","New York","hydroelectric",0.8,-74.306288,44.877326
"Minetto","Erie Boulevard Hydropower LP","Minetto","New York","hydroelectric",7,-76.4739,43.4003
"Moshier","Erie Boulevard Hydropower LP","Lowville","New York","hydroelectric",8,-75.1364,43.8719
"Nine Mile Point Nuclear Station","Constellation Nuclear","Lycoming","New York","nuclear",1896.1,-76.41,43.5211
"Norfolk","Erie Boulevard Hydropower LP","Norfolk","New York","hydroelectric",5.1,-74.9975,44.8053
"Norwood","Erie Boulevard Hydropower LP","Norwood","New York","hydroelectric",2.2,-75.0042,44.7439
"Oswego Harbor Power","Oswego Harbor Power","Oswego","New York","petroleum",1610.6,-76.5319,43.4586
"Oswego Falls East","Erie Boulevard Hydropower LP","Fulton","New York","hydroelectric",4.2,-76.4153,43.3161
"Oswego Falls West","Erie Boulevard Hydropower LP","Fulton","New York","hydroelectric",2.6,-76.4172,43.3156
"Parishville","Erie Boulevard Hydropower LP","Parishville","New York","hydroelectric",2.3,-74.8258,44.63
"Piercefield","Erie Boulevard Hydropower LP","Piercefield","New York","hydroelectric",2.8,-74.566217,44.233419
"Prospect","Erie Boulevard Hydropower LP","Prospect","New York","hydroelectric",18.3,-75.147734,43.291861
"Rainbow Falls Hydro","Erie Boulevard Hydropower LP","Parishville","New York","hydroelectric",24,-74.8228,44.5178
"Raymondville","Erie Boulevard Hydropower LP","Norfolk","New York","hydroelectric",2.3,-74.9803,44.835
"South Edwards","Erie Boulevard Hydropower LP","Fine","New York","hydroelectric",3.4,-75.1961,44.2678
"School Street","Erie Boulevard Hydropower LP","Cohoes","New York","hydroelectric",36.9,-73.707983,42.78498
"Schaghticoke","Erie Boulevard Hydropower LP","Schaghticoke","New York","hydroelectric",15.9,-73.5989,42.8992
"Schuylerville","Erie Boulevard Hydropower LP","Schuylerville","New York","hydroelectric",1.5,-73.582107,43.096823
"Sewalls","Erie Boulevard Hydropower LP","Watertown","New York","hydroelectric",2.2,-75.8942,43.9775
"Sherman Island","Erie Boulevard Hydropower LP","Queensbury","New York","hydroelectric",36.9,-73.7094,43.2797
"Soft Maple","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",14.4,-75.2433,43.9206
"South Colton","Erie Boulevard Hydropower LP","Colton","New York","hydroelectric",19.8,-74.8831,44.5133
"Spier Falls","Erie Boulevard Hydropower LP","Gansevoort","New York","hydroelectric",54.5,-73.7556,43.2339
"Stark","Erie Boulevard Hydropower LP","Colton","New York","hydroelectric",23.3,-74.7614,44.4553
"Stewarts Bridge","Erie Boulevard Hydropower LP","Corinth","New York","hydroelectric",40,-73.8853,43.2978
"Sugar Island","Erie Boulevard Hydropower LP","Potsdam","New York","hydroelectric",4.1,-74.976473,44.642181
"Taylorville","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",4.4,-75.321877,43.927002
"Trenton Falls","Erie Boulevard Hydropower LP","Barneveld","New York","hydroelectric",25.9,-75.1567,43.2758
"Varick","Erie Boulevard Hydropower LP","Oswego","New York","hydroelectric",5.6,-76.5056,43.4486
"Waterport","Erie Boulevard Hydropower LP","Waterport","New York","hydroelectric",3.8,-78.2394,43.3272
"Yaleville","Erie Boulevard Hydropower LP","Norfolk","New York","hydroelectric",0.6,-74.9997,44.7661
"Bowline Point","Bowline, LLC","West Haverstraw","New York","natural gas",1159.6,-73.9689,41.2044
"Grahamsville","New York Power Authority","Grahamsville","New York","hydroelectric",18,-74.5106,41.8592
"Hillburn","Alliance NYGT, LLC","Hillburn","New York","natural gas",33.1,-74.1653,41.1269
"Mongaup Falls","Eagle Creek Renewable Energy, LLC","Forestburgh","New York","hydroelectric",7.6,-74.771383,41.537722
"Rio","Eagle Creek Renewable Energy, LLC","Glen Spey","New York","hydroelectric",10.9,-74.7578,41.4625
"Shoemaker","Alliance NYGT, LLC","Middletown","New York","natural gas",33,-74.4186,41.4278
"Swinging Bridge 2","Eagle Creek Renewable Energy, LLC","Forestburgh","New York","hydroelectric",8.6,-74.7828,41.5717
"Rochester 26","Rochester Gas & Electric Corp","Rochester","New York","hydroelectric",3,-77.6098,43.1522
"Rochester 2","Rochester Gas & Electric Corp","Rochester","New York","hydroelectric",8.5,-77.615,43.1611
"Rochester 5","Rochester Gas & Electric Corp","Rochester","New York","hydroelectric",43.8,-77.6278,43.1803
"Plant No 1 Freeport","Village of Freeport - (NY)","Freeport","New York","petroleum",4.2,-73.5922,40.6561
"Plant No 2 Freeport","Village of Freeport - (NY)","Freeport","New York","natural gas",65.8,-73.5683,40.6447
"Greenport","Village of Greenport - (NY)","Greenport","New York","petroleum",8.5,-72.3758,41.1055
"S A Carlson","Jamestown Board of Public Util","Jamestown","New York","natural gas",87,-79.2478,42.0933
"Crescent","New York Power Authority","Crescent","New York","hydroelectric",11.6,-73.72264,42.8056
"Vischer Ferry","New York Power Authority","Rexford","New York","hydroelectric",11.6,-73.84269,42.80746
"Blenheim Gilboa","New York Power Authority","Gilboa","New York","pumped storage",1169.8,-74.4479,42.4423
"Lewiston Niagara","New York Power Authority","Lewiston","New York","pumped storage",240,-79.021958,43.142973
"Robert Moses Niagara","New York Power Authority","Lewiston","New York","hydroelectric",2434.9,-79.0394,43.1427
"Robert Moses Power Dam","New York Power Authority","Massena","New York","hydroelectric",856,-74.7994,45.0038
"Charles P Keller","Village of Rockville Centre - (NY)","Rockville Centre","New York","natural gas",28.8,-73.640556,40.658333
"Watertown","City of Watertown - (NY)","Watertown","New York","hydroelectric",6.3,-75.874669,43.975801
"Asheville","Duke Energy Progress - (NC)","Arden","North Carolina","natural gas",814,-82.5417,35.4731
"Blewett","Duke Energy Progress - (NC)","Lilesville","North Carolina","petroleum",79,-79.8775,34.9833
"Marshall Dam","Duke Energy Progress - (NC)","Marshall","North Carolina","hydroelectric",4,-82.710571,35.702527
"Roxboro","Duke Energy Progress - (NC)","Semora","North Carolina","coal",2439,-79.0731,36.4833
"Tillery","Duke Energy Progress - (NC)","Mount Gilead","North Carolina","hydroelectric",85,-80.06483,35.206741
"Walters","Duke Energy Progress - (NC)","Waterville","North Carolina","hydroelectric",112,-83.0503,35.6946
"W H Weatherspoon","Duke Energy Progress - (NC)","Lumberton","North Carolina","petroleum",124,-78.97552,34.587538
"Bridgewater","Duke Energy Carolinas, LLC","Morganton","North Carolina","hydroelectric",31.5,-81.8372,35.7428
"Buck","Duke Energy Carolinas, LLC","Salisbury","North Carolina","natural gas",668,-80.3767,35.7133
"James E. Rogers Energy Complex","Duke Energy Carolinas, LLC","Cliffside","North Carolina","natural gas",1388,-81.7594,35.22
"Cowans Ford","Duke Energy Carolinas, LLC","Stanley","North Carolina","hydroelectric",324,-80.9588,35.4346
"Dan River","Duke Energy Carolinas, LLC","Eden","North Carolina","natural gas",662,-79.7208,36.4862
"Lookout Shoals","Duke Energy Carolinas, LLC","Statesville","North Carolina","hydroelectric",27,-81.0894,35.7575
"Marshall (NC)","Duke Energy Carolinas, LLC","Terrell","North Carolina","natural gas",2058,-80.9658,35.5975
"Mountain Island","Duke Energy Carolinas, LLC","Mount Holly","North Carolina","hydroelectric",68,-80.9867,35.3339
"Oxford Dam","Duke Energy Carolinas, LLC","Conover","North Carolina","hydroelectric",40,-81.1922,35.8214
"Rhodhiss","Duke Energy Carolinas, LLC","Rhodhiss","North Carolina","hydroelectric",33.4,-81.437773,35.774234
"Turner Shoals","Northbrook Carolina Hydro LLC","Mill Springs","North Carolina","hydroelectric",5.4,-82.186369,35.334767
"Tuxedo","Northbrook Tuxedo, LLC","Flat Rock","North Carolina","hydroelectric",6.4,-82.389371,35.245006
"Bear Creek Dam","Duke Energy Carolinas, LLC","Tuckasegee","North Carolina","hydroelectric",9.5,-83.072007,35.242677
"Cedar Cliff","Duke Energy Carolinas, LLC","Tuckasegee","North Carolina","hydroelectric",6.4,-83.0983,35.2531
"Franklin (NC)","Northbrook Carolina Hydro II, LLC","Franklin","North Carolina","hydroelectric",1,-83.3708,35.2194
"Mission","Northbrook Carolina Hydro II, LLC","Murphy","North Carolina","hydroelectric",1.8,-83.9258,35.0647
"Nantahala","Duke Energy Carolinas, LLC","Topton","North Carolina","hydroelectric",45,-83.6762,35.2715
"Tennessee Creek","Duke Energy Carolinas, LLC","Tuckasegee","North Carolina","hydroelectric",11.5,-83.0028,35.2139
"Thorpe","Duke Energy Carolinas, LLC","Tuckasegee","North Carolina","hydroelectric",19.7,-83.125398,35.233988
"Tuckasegee","Duke Energy Carolinas, LLC","Tuckasegee","North Carolina","hydroelectric",2.5,-83.128111,35.247011
"Gaston","Virginia Electric & Power Co","Roanoke Rapids","North Carolina","hydroelectric",220,-77.811543,36.499147
"Roanoke Rapids","Virginia Electric & Power Co","Roanoke Rapids","North Carolina","hydroelectric",95,-77.6722,36.4789
"Lake Lure","Lake Lure Town of","Lake Lure","North Carolina","hydroelectric",3.6,-82.184005,35.42591
"Chatuge","Tennessee Valley Authority","Hayesville","North Carolina","hydroelectric",13.9,-83.791438,35.019131
"Fontana Dam","Tennessee Valley Authority","Fontana Dam","North Carolina","hydroelectric",304.2,-83.805,35.4507
"Hiwassee Dam","Tennessee Valley Authority","Murphy","North Carolina","pumped storage",173.7,-84.177533,35.150864
"Buxton","North Carolina El Member Corp","Buxton","North Carolina","petroleum",15,-75.534722,35.267222
"R M Heskett","Montana-Dakota Utilities Co","Mandan","North Dakota","natural gas",176.4,-100.8836,46.8669
"Jamestown","Otter Tail Power Co","Jamestown","North Dakota","petroleum",40.6,-98.662183,46.905665
"Grafton","City of Grafton - (ND)","Grafton","North Dakota","petroleum",4,-97.403328,48.430028
"Garrison","USACE-Omaha","Riverside","North Dakota","hydroelectric",510,-101.4115,47.4945
"Leland Olds","Basin Electric Power Coop","Stanton","North Dakota","coal",660,-101.321213,47.280769
"Milton R Young","Minnkota Power Coop, Inc","Center","North Dakota","coal",684,-101.213093,47.065854
"Cardinal","Cardinal Operating Company","Brillant","Ohio","coal",1790,-80.6486,40.2522
"Walter C Beckjord","Duke Energy Ohio Inc","New Richmond","Ohio","batteries",4,-84.2981,38.9917
"Dick's Creek","Luminant Dick's Creek","Monroe","Ohio","natural gas",136.2,-84.3778,39.465
"Miami Fort","Luminant Miami Fort","North Bend","Ohio","coal",1076,-84.8036,39.1128
"Tait Electric Generating Station","Kimura Power LLC","Moraine","Ohio","natural gas",607.1,-84.211084,39.727249
"O H Hutchings","Kimura Power LLC","Miamisburg","Ohio","natural gas",25.2,-84.2921,39.6088
"Monument","Kimura Power LLC","Dayton","Ohio","petroleum",12.5,-84.1739,39.7667
"Sidney (OH)","Kimura Power LLC","Sidney","Ohio","petroleum",13.5,-84.19097,40.27917
"Yankee Street","Kimura Power LLC","Centerville","Ohio","natural gas",127.8,-84.2047,39.603
"Niles Power Plant","Niles Power, LLC","Niles","Ohio","petroleum",26.1,-80.74769,41.166928
"West Lorain","Vermillion Power LLC","Lorain","Ohio","natural gas",500.5,-82.264444,41.429444
"Kyger Creek","Ohio Valley Electric Corp","Cheshire","Ohio","coal",962.8,-82.1289,38.9144
"FirstEnergy Bay Shore","Walleye Power, LLC
","Oregon","Ohio","petroleum",153.7,-83.4378,41.6917
"Richland","Richland-Stryker Generation LLC","Defiance","Ohio","natural gas",369,-84.334622,41.305203
"Stryker","Richland-Stryker Generation LLC","Stryker","Ohio","petroleum",17,-84.4283,41.5014
"Bryan (OH)","City of Bryan - (OH)","Bryan","Ohio","natural gas",31.5,-84.543148,41.471822
"Collinwood","City of Cleveland - (OH)","Cleveland","Ohio","petroleum",16,-81.58796,41.556867
"West 41st Street","City of Cleveland - (OH)","Cleveland","Ohio","natural gas",32,-81.7145,41.474
"Dover","City of Dover - (OH)","Dover","Ohio","coal",40.9,-81.46815,40.520066
"Hamilton (OH)","City of Hamilton - (OH)","Hamilton","Ohio","natural gas",12,-84.5543,39.4098
"Oberlin (OH)","City of Oberlin - (OH)","Oberlin","Ohio","natural gas",18.4,-82.2194,41.2836
"Orrville","City of Orrville - (OH)","Orrville","Ohio","coal",78.5,-81.765764,40.850964
"Terrora","Georgia Power Co","Tallulah Falls","Georgia","hydroelectric",17.6,-83.4162,34.7653
"Sand Point","Sand Point Generating, LLC","Sand Point","Alaska","petroleum",1.7,-160.497222,55.339722
"Guernsey","U S Bureau of Reclamation","Guernsey","Wyoming","hydroelectric",6.4,-104.760634,42.289868
"Bankhead Dam","Alabama Power Co","Northport","Alabama","hydroelectric",53,-87.356823,33.458665
"Barry","Alabama Power Co","Bucks","Alabama","natural gas",3099.7,-88.0103,31.0069
"Walter Bouldin Dam","Alabama Power Co","Wetumpka","Alabama","hydroelectric",224.1,-86.283056,32.583889
"Copper","El Paso Electric Co","El Paso","Texas","natural gas",63,-106.375,31.7569
"Greene County","Alabama Power Co","Demopolis","Alabama","natural gas",1256.1,-87.7811,32.6017
"H Neely Henry Dam","Alabama Power Co","Ohatchee","Alabama","hydroelectric",71.1,-86.0524,33.7845
"Holt Dam","Alabama Power Co","Tuscaloosa","Alabama","hydroelectric",48,-87.4495,33.2553
"Jordan Dam","Alabama Power Co","Wetumpka","Alabama","hydroelectric",129.2,-86.2548,32.6189
"Logan Martin Dam","Alabama Power Co","Vincent","Alabama","hydroelectric",129,-86.337547,33.425878
"Lay Dam","Alabama Power Co","Clanton","Alabama","hydroelectric",180,-86.5187,32.9633
"Martin Dam","Alabama Power Co","Dadeville","Alabama","hydroelectric",182.1,-85.911442,32.680394
"Mitchell Dam","Alabama Power Co","Verbena","Alabama","hydroelectric",163.1,-86.444892,32.806025
"Lewis Smith Dam","Alabama Power Co","Jasper","Alabama","hydroelectric",178,-87.1077,33.9406
"Thurlow Dam","Alabama Power Co","Tallassee","Alabama","hydroelectric",79.9,-85.887614,32.535436
"Weiss Dam","Alabama Power Co","Leesburg","Alabama","hydroelectric",81,-85.753806,34.172142
"Yates Dam","Alabama Power Co","Tallassee","Alabama","hydroelectric",44,-85.8901,32.5743
"E C Gaston","Alabama Power Co","Wilsonville","Alabama","natural gas",1868,-86.458056,33.244211
"Madelia","City of Madelia - (MN)","City of Madelia","Minnesota","petroleum",10.6,-94.4178,44.0501
"Rollins","Nevada Irrigation District","Colfax","California","hydroelectric",12.1,-120.953341,39.134259
"Millers Ferry","USCE-Mobile District","Camden","Alabama","hydroelectric",90,-87.399767,32.100881
"Browns Ferry","Tennessee Valley Authority","Decatur","Alabama","nuclear",3661.7,-87.1189,34.7042
"Kortes","U S Bureau of Reclamation","Sinclair","Wyoming","hydroelectric",36.6,-106.880543,42.174301
"Painesville","City of Painesville","Painesville","Ohio","coal",48.8,-81.254,41.7265
"Colbert","Tennessee Valley Authority","Tuscumbia","Alabama","natural gas",1026.2,-87.8486,34.7439
"Guntersville","Tennessee Valley Authority","Guntersville","Alabama","hydroelectric",122.7,-86.393931,34.421272
"Wheeler Dam","Tennessee Valley Authority","Town Creek","Alabama","hydroelectric",398.2,-87.3819,34.8069
"Gantt","PowerSouth Energy Cooperative","Andalusia","Alabama","hydroelectric",2.6,-86.479469,31.4033
"J K Smith","East Kentucky Power Coop, Inc","Winchester","Kentucky","natural gas",784,-84.1017,37.8833
"Point A","PowerSouth Energy Cooperative","Andalusia","Alabama","hydroelectric",4.4,-86.518307,31.361146
"Lowman Energy Center","PowerSouth Energy Cooperative","Leroy","Alabama","natural gas",639,-87.910747,31.488019
"Platte","City of Grand Island - (NE)","Grand Island","Nebraska","coal",100,-98.348222,40.854765
"Whelan Energy Center","City of Hastings - (NE)","Hastings","Nebraska","coal",296,-98.312437,40.580872
"Annex Creek","Alaska Electric Light & Power Co.","Juneau","Alaska","hydroelectric",3.6,-134.101,58.3176
"Gold Creek","Alaska Electric Light & Power Co.","Juneau","Alaska","petroleum",9.7,-134.4174,58.3107
"Lemon Creek","Alaska Electric Light & Power Co.","Juneau","Alaska","petroleum",57.5,-134.4953,58.3536
"Salmon Creek 1","Alaska Electric Light & Power Co.","Juneau","Alaska","hydroelectric",5.2,-134.4631,58.3269
"Skagway","Alaska Power and Telephone Co","Skagway","Alaska","petroleum",5.1,-135.3131,59.4545
"Haines","Alaska Power and Telephone Co","Haines","Alaska","petroleum",8.4,-135.446228,59.235931
